Document Name,Location,Category 1 (Mandatory),Category 2 (Optional),Category 3 (Optional)
501 Respite and Care Services5385-7-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,
501CareCentre6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,
local-501respiteandcareservices4-1268785031.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,
local-501respitecareservices5-1363905399.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,
501 Respite and Care Services5385-7.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,
ahorrlodge0007-6.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,
AHOrrLodge0007-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,
AHOrrLodge0007-6-cera.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,
local-ahorrlodge4-1329106829.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,
AHOrrLodge5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,
A.+G.+Eastwood+Hostel3377-6-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,
A.G.EastwoodHostel5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,
a.-g.-eastwood-hostel3377-6.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,
local-ageastwoodhostel3-1256683589.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,
local-ageastwoodhostel4-1351726349.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,
A.+G.+Eastwood+Hostel3377-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,
AbberfieldAgedCareFacility5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,
abberfield-aged-care-facility4002-6.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,
local-abberfieldagedcarefacility3-1252284087.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,
local-abberfieldagedcarefacility4-1347586501.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,
Abberfield+Aged+Care+Facility4002-6cer.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,
Abberfield+Aged+Care+Facility4002-6cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,
Abbey House Aged Care2610-7-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,
abbeyhouseagedcare2610-6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,
Abbey House Aged Care2610-7.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,
Abbey House Aged Care2610-7-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,
AbbeyfieldHouseHostel3164-8-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,
AbbeyfieldHouseHostel3164-8-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,
local-abbeyfieldhousehostel4-1247545858.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,
local-abbeyfieldhousehostel6-1347944697.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,
AbbeyfieldHouseHostel7.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,
abbeyfieldhousehostel3164-8.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,
AbelTasmanVillage6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,
AbelTasmanVillage0356-7-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,
AbelTasmanVillage0356-7-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,
abel-tasman-village0356-8.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,
local-abeltasmanvillage4-1248158256.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,
local-abeltasmanvillage5-1345421102.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,
AbernethyNursingHome5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,
abernethy-nursing-home2787-6.doc.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,
local-abernethynursinghome3-1253600316.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,
local-abernethynursinghome4-1349414693.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,
Abernethy+Nursing+Home2787-6cer.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,
Abernethy+Nursing+Home2787-6cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,
Acacia Living Group Meadow Springs Aged Care Facility7154-4.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
Acacia Living Group Meadow Springs Aged Care Facility7154-5.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
Acacia Living Group Meadow Springs Aged Care Facility7154-5-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
Acacia Living Group Meadow Springs Aged Care Facility7154-5-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
Acacia Living Group Menora Gardens Aged Care Facility7151-5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
Acacia Living Group Menora Gardens Aged Care Facility7151-6.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
Acacia Living Group Menora Gardens Aged Care Facility7151-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
Acacia Living Group Menora Gardens Aged Care Facility7151-6-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
AcaciaHouseResidentialAgedCareService4.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
acaciahouseresidentialagedcareservice4348-5.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
AcaciaHouseResidentialAgedCareService4348-5-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
AcaciaHouseResidentialAgedCareService4348-5-cera.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
local-acaciahouseresidentialagedcareservice3-1319674840.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,
ACDMA Aged Hostel0365-8.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
ACDMA Aged Hostel0365-8-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
ACDMA Aged Hostel0365-8-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
ACDMA Aged Hostel0365-9.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
acdmaagedhostel1-115683088925896.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
ACDMAAgedHostel4.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
acdmaagedhostel0365-5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
local-acdmaagedhostel2-1250743707.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
local-acdmaagedhostel3-1346912190.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
ACDMA Aged Hostel0365-7.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACDMA Aged Hostel,Audit,ACDMA Aged Hostel,
ACH Group Residential Care - Milpara6930-10_0.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACH Group Residential Care,Audit,ACH Group Residential Care,
ACH Group Residential Care - Milpara6930-10-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACH Group Residential Care,Audit,ACH Group Residential Care,
ACH Group Residential Care - Milpara6930-10-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACH Group Residential Care,Audit,ACH Group Residential Care,
ACH Group Residential Care - Perry Park (high care)6950-6.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACH Group Residential Care,Audit,ACH Group Residential Care,
ACH Group Residential Care - Perry Park (low Care)6021-6.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACH Group Residential Care,Audit,ACH Group Residential Care,
ACH Group Residential Care - Colton Court6980-8.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACH Group Residential Care,Audit,ACH Group Residential Care,
ACH Group Residential Care - Kapara6805-6.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\ACH Group Residential Care,Audit,ACH Group Residential Care,
local-coltoncourtnursinghome4-1241068092.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Colton Court Nursing,Audit,Colton Court Nursing,
local-coltoncourtnursinghome6-1340001988.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Colton Court Nursing,Audit,Colton Court Nursing,
ColtonCourtNursingHome7.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Colton Court Nursing,Audit,Colton Court Nursing,
local-highercombe3-1344835635.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Highercombe,Audit,Highercombe,
local-highercombe4-1373504062.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Highercombe,Audit,Highercombe,
highercombe6289-5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Highercombe,Audit,Highercombe,
local-kaparanursinghome3-1235453651.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Kapara Nursing Home,Audit,Kapara Nursing Home,
local-kaparanursinghome4-1329799863.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Kapara Nursing Home,Audit,Kapara Nursing Home,
KaparaNursingHome5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Kapara Nursing Home,Audit,Kapara Nursing Home,
MilparaAgedCareFacility9.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Milpara Aged Care Facility,Audit,Milpara Aged Care Facility,
local-milparaagedcarefacility6-1344836364.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Milpara Aged Care Facility,Audit,Milpara Aged Care Facility,
milparaagedcarefacility4-120520765397648.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Milpara Aged Care Facility,Audit,Milpara Aged Care Facility,
local-mingarrahostel3-1247460395.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Mingarra Hostel,Audit,Mingarra Hostel,
local-mingarrahostel5-1346826827.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Mingarra Hostel,Audit,Mingarra Hostel,
MingarraHostel6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Mingarra Hostel,Audit,Mingarra Hostel,
mingarrahostel3235-7.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Mingarra Hostel,Audit,Mingarra Hostel,
MingarraHostel3235-7-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Mingarra Hostel,Audit,Mingarra Hostel,
MingarraHostel3235-7-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Mingarra Hostel,Audit,Mingarra Hostel,
local-perryparkhostel4-1332456292.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Perry Park Hostel,Audit,Perry Park Hostel,
PerryParkHostel5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Perry Park Hostel,Audit,Perry Park Hostel,
local-perryparkhostel3-1238709306.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Perry Park Hostel,Audit,Perry Park Hostel,
local-perryparknursinghome4-1332205852.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Perry Park Nursing Home,Audit,Perry Park Nursing Home,
PerryParkNursingHome5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Perry Park Nursing Home,Audit,Perry Park Nursing Home,
local-perryparknursinghome3-1239237826.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Perry Park Nursing Home,Audit,Perry Park Nursing Home,
local-rslmenoragardensagedcarefacility3-1348470088.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\RSL Menora Gardens Aged Care Facility,Audit,RSL Menora Gardens Aged Care Facility,
RSLMenoraGardensAgedCareFacility4.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\RSL Menora Gardens Aged Care Facility,Audit,RSL Menora Gardens Aged Care Facility,
local-rslmenoragardensagedcarefacility2-1252019562.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\RSL Menora Gardens Aged Care Facility,Audit,RSL Menora Gardens Aged Care Facility,
RSLWarVeteransHomeMandurah4.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\RSL War Veterans Home Mandurah,Audit,RSL War Veterans Home Mandurah,
local-rslwarveteranshomemandurah2-1254375169.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\RSL War Veterans Home Mandurah,Audit,RSL War Veterans Home Mandurah,
local-rslwarveteranshomemandurah3-1350004760.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\RSL War Veterans Home Mandurah,Audit,RSL War Veterans Home Mandurah,
local-theabbeynursinghome4-1334819734.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\The Abbey Nursing Home,Audit,The Abbey Nursing Home,
TheAbbeyNursingHome5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\The Abbey Nursing Home,Audit,The Abbey Nursing Home,
local-theabbeynursinghome3-1238977326.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\The Abbey Nursing Home,Audit,The Abbey Nursing Home,
Phase 2 report - FINAL - June 2018.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits,Audit,Consumer Experience,
quality_agency_regulator_performance_measures.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits,Audit,,
Transcriptwebinarunnanounced5June18.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits,Audit,,
AACQAConsumerExperienceReportTrends.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits,Audit,Consumer Experience,
aacqa_corporate_plan_2016_to_2020_word_accessible_website.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Corporate Plan,Corporate Plan,,
aacqa_corporate_plan_2017_to_2021_v6.6.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Corporate Plan,Corporate Plan,,
aacqa_corporate_plan_2017_to_2021_v6.6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Corporate Plan,Corporate Plan,,
aacqa_corporate_plan_2018-19.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Corporate Plan,Corporate Plan,,
corporate_plan_2015-16.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Corporate Plan,Corporate Plan,,
aacqa_corporate_plan_2016_to_2020_accesible_website.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Corporate Plan,Corporate Plan,,
7-with_attachments-publicconsultation.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Draft Guidance Material\Feedback,Draft Guidance Material,Feedback,
10-publicconsultation.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Draft Guidance Material\Feedback,Draft Guidance Material,Feedback,
11-publicconsultation.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Draft Guidance Material\Feedback,Draft Guidance Material,Feedback,
13-publicconsultation.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Draft Guidance Material\Feedback,Draft Guidance Material,Feedback,
