,Document Name,Location,Category 1 (Mandatory),Category 2 (Optional),Category 3 (Optional),path
12,70LoweStreet3476-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '70 Lowe Street']"
13,70LoweStreet3476-6-cera.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '70 Lowe Street']"
14,local-70lowestreet3-1242177222.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '70 Lowe Street']"
15,local-70lowestreet4-1336955238.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '70 Lowe Street']"
16,70LoweStreet5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '70 Lowe Street']"
17,70lowestreet3476-6.doc.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\70 Lowe Street,Audit,70 Lowe Street,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '70 Lowe Street']"
18,501 Respite and Care Services5385-7-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '501 Care Services']"
19,501 Respite and Care Services5385-7-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '501 Care Services']"
20,501CareCentre6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '501 Care Services']"
21,local-501respiteandcareservices4-1268785031.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '501 Care Services']"
22,local-501respitecareservices5-1363905399.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '501 Care Services']"
23,501 Respite and Care Services5385-7.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\501 Care Services,Audit,501 Care Services,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', '501 Care Services']"
24,ahorrlodge0007-6.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A H Orr Lodge']"
25,AHOrrLodge0007-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A H Orr Lodge']"
26,AHOrrLodge0007-6-cera.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A H Orr Lodge']"
27,local-ahorrlodge4-1329106829.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A H Orr Lodge']"
28,AHOrrLodge5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A H Orr Lodge,Audit,A H Orr Lodge,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A H Orr Lodge']"
29,A.+G.+Eastwood+Hostel3377-6-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A.G.Eastwood Hostel']"
30,A.G.EastwoodHostel5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A.G.Eastwood Hostel']"
31,a.-g.-eastwood-hostel3377-6.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A.G.Eastwood Hostel']"
32,local-ageastwoodhostel3-1256683589.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A.G.Eastwood Hostel']"
33,local-ageastwoodhostel4-1351726349.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A.G.Eastwood Hostel']"
34,A.+G.+Eastwood+Hostel3377-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\A.G.Eastwood Hostel,Audit,A.G.Eastwood Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'A.G.Eastwood Hostel']"
35,AbberfieldAgedCareFacility5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abberfield Aged Care Facility']"
36,abberfield-aged-care-facility4002-6.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abberfield Aged Care Facility']"
37,local-abberfieldagedcarefacility3-1252284087.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abberfield Aged Care Facility']"
38,local-abberfieldagedcarefacility4-1347586501.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abberfield Aged Care Facility']"
39,Abberfield+Aged+Care+Facility4002-6cer.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abberfield Aged Care Facility']"
40,Abberfield+Aged+Care+Facility4002-6cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abberfield Aged Care Facility,Audit,Abberfield Aged Care Facility,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abberfield Aged Care Facility']"
41,Abbey House Aged Care2610-7-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbey House Aged Care']"
42,abbeyhouseagedcare2610-6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbey House Aged Care']"
43,Abbey House Aged Care2610-7.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbey House Aged Care']"
44,Abbey House Aged Care2610-7-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbey House Aged Care,Audit,Abbey House Aged Care,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbey House Aged Care']"
45,AbbeyfieldHouseHostel3164-8-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbeyfield House Hostel']"
46,AbbeyfieldHouseHostel3164-8-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbeyfield House Hostel']"
47,local-abbeyfieldhousehostel4-1247545858.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbeyfield House Hostel']"
48,local-abbeyfieldhousehostel6-1347944697.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbeyfield House Hostel']"
49,AbbeyfieldHouseHostel7.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbeyfield House Hostel']"
50,abbeyfieldhousehostel3164-8.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abbeyfield House Hostel,Audit,Abbeyfield House Hostel,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abbeyfield House Hostel']"
51,AbelTasmanVillage6.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abel Tasman Village']"
52,AbelTasmanVillage0356-7-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abel Tasman Village']"
53,AbelTasmanVillage0356-7-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abel Tasman Village']"
54,abel-tasman-village0356-8.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abel Tasman Village']"
55,local-abeltasmanvillage4-1248158256.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abel Tasman Village']"
56,local-abeltasmanvillage5-1345421102.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abel Tasman Village,Audit,Abel Tasman Village,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abel Tasman Village']"
57,AbernethyNursingHome5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abernethy Nursing Home']"
58,abernethy-nursing-home2787-6.doc.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abernethy Nursing Home']"
59,local-abernethynursinghome3-1253600316.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abernethy Nursing Home']"
60,local-abernethynursinghome4-1349414693.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abernethy Nursing Home']"
61,Abernethy+Nursing+Home2787-6cer.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abernethy Nursing Home']"
62,Abernethy+Nursing+Home2787-6cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Abernethy Nursing Home,Audit,Abernethy Nursing Home,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Abernethy Nursing Home']"
63,Acacia Living Group Meadow Springs Aged Care Facility7154-4.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
64,Acacia Living Group Meadow Springs Aged Care Facility7154-5.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
65,Acacia Living Group Meadow Springs Aged Care Facility7154-5-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
66,Acacia Living Group Meadow Springs Aged Care Facility7154-5-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
67,Acacia Living Group Menora Gardens Aged Care Facility7151-5.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
68,Acacia Living Group Menora Gardens Aged Care Facility7151-6.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
69,Acacia Living Group Menora Gardens Aged Care Facility7151-6-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
70,Acacia Living Group Menora Gardens Aged Care Facility7151-6-cera.doc,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
71,AcaciaHouseResidentialAgedCareService4.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
72,acaciahouseresidentialagedcareservice4348-5.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
73,AcaciaHouseResidentialAgedCareService4348-5-cer.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
74,AcaciaHouseResidentialAgedCareService4348-5-cera.docx,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
75,local-acaciahouseresidentialagedcareservice3-1319674840.pdf,C:\Users\classifier-admin\Desktop\Data\AACQA (Australian Aged Care Quality Agency)\AACQA Audits\Acacia Living Group Meadow Springs Aged,Audit,Acacia Living Group Meadow Springs Aged,,"['C:', 'Users', 'classifier-admin', 'Desktop', 'Data', 'AACQA (Australian Aged Care Quality Agency)', 'AACQA Audits', 'Acacia Living Group Meadow Springs Aged']"
