nodes,node_labels,adj_labels,adj_nodes
AACQA Annual Reports,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'aacq043_annual_report_2014_web_doc.docx', 'aacq043_annual_report_2014_web_pdf.pdf', 'aacqa_annual_report_2015_accessible_revised.pdf', 'aacqa_annual_report_2017-18.pdf', 'aacqa_annual_report_2017_printed_pdf.pdf', 'aacqa_annual_report_accessibility_17_november_corrected.docx', 'aacqa_table_a_executive_remuneration.docx', 'aacqa_table_a_executive_remuneration.pdf', 'aacq_annual_report_2016_accessible_web_pdf.pdf', 'working_together_for_quality_aged_care_-_stakeholder_roundtable_report.pdf']"
AACQA Corporate Plan,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'aacqa_corporate_plan_2016_to_2020_accesible_website.pdf', 'aacqa_corporate_plan_2016_to_2020_word_accessible_website.docx', 'aacqa_corporate_plan_2017_to_2021_v6.6.docx', 'aacqa_corporate_plan_2017_to_2021_v6.6.pdf', 'aacqa_corporate_plan_2018-19.pdf', 'corporate_plan_2015-16.pdf']"
AACQA Handbooks,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'lets_talk_about_quality_discussion_paper_updated_1_september_2015.pdf', 'lets_talk_about_quality_forums_presentation_slides.pdf', 'lets_talk_about_quality_updated9feb2016.pdf', 'the_way_we_manage_quality_and_safety_strengthening_risk.pdf']"
AACQA Newsletters,FOLDER,"['FOLDER', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', '2018-December-Quality-Standard-newsletter_0.pdf', '2018-October-Quality-Standard-newsletter.pdf']"
AACQA NOUS Report,FOLDER,"['FOLDER', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'aacqa_nous_report_accessible_version.pdf', 'aacqa_response_to_nous_report.pdf']"
AACQA Self Assessment,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', '2017-18 Aged Care Sector Committee Feedback.pdf', '2017-18 Regulator Performance Report.pdf', 'aacqa_regulator_performance_self-assessment_report_2016-17.docx', 'aged_care_guild_-_feedback_aacqa_self-assessment.docx', 'aged_care_guild_-_feedback_aacqa_self-assessment.pdf', 'aged_care_sector_committee_feedback_table.docx', 'aged_care_sector_committee_feedback_table.pdf', 'catholic_health_australia_-_feedback_aacqa_self-assessment.docx', 'catholic_health_australia_-_feedback_aacqa_self-assessment.pdf', 'dementia_australia_-_feedback_aacqa_self-assessment.docx', 'dementia_australia_-_feedback_aacqa_self-assessment.pdf', 'national_lgbti_health_alliance_-_feedback_aacqa_self-assessment.docx', 'national_lgbti_health_alliance_-_feedback_aacqa_self-assessment.pdf', 'national_seniors_australia_-_feedback_aacqa_self-assessment.docx', 'national_seniors_australia_-_feedback_aacqa_self-assessment.pdf', 'Quality Agency Regulator Performance - self-assessment report 2015-16 v2.2_20161026 Validated .pdf']"
AACQA Standards Guidance Reference Group,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'communique_9_sgrg_for_website.pdf', 'standardguidancereferencegroupcommunique6.docx', 'standardguidancereferencegroupcommunique8.docx', 'standardguidancereferencegroupcommunique8.pdf', 'Standards Guidance Reference Group Membership -PDF.pdf', 'Standards Guidance Reference Group Membership.docx', 'standard_guidancereferencegroupcommunique_6.pdf', 'standard_guidance_reference_group_communique_1.docx', 'standard_guidance_reference_group_communique_1.pdf', 'standard_guidance_reference_group_communique_2.docx', 'standard_guidance_reference_group_communique_2.pdf', 'standard_guidance_reference_group_communique_3.docx', 'standard_guidance_reference_group_communique_3.pdf', 'standard_guidance_reference_group_communique_4.docx', 'standard_guidance_reference_group_communique_4.pdf', 'standard_guidance_reference_group_communique_5.docx', 'standard_guidance_reference_group_communique_5.pdf', 'standard_guidance_reference_group_communique_7.pdf', 'standard_guidance_reference_group_communique_7_-word.docx']"
AACQA Statements,FOLDER,"['FOLDER', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'aacqa_statement_of_expectation.pdf', 'aacqa_statement_of_intent_2015-16.pdf']"
Memorandum of Understanding,FOLDER,"['FOLDER', 'FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA (Australian Aged Care Quality Agency)', 'ACQSC (Aged Care Quality and Safety Commission)', 'mou_-_complaints_commissioner_and_quality_agency_june_2018.pdf', 'MOU - ACQSC and OHO QLD.pdf', 'MoU ACQSC and AHPRA.pdf', 'Signed MoU HCCC & ACQSC 151019.pdf', 'signed_mou_with_doh.pdf', 'signed_schedule_communication_data.pdf']"
501 Care Services,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', '501 Respite and Care Services5385-7-cer.pdf', '501 Respite and Care Services5385-7-cera.doc', '501 Respite and Care Services5385-7.doc', '501CareCentre6.pdf', 'local-501respiteandcareservices4-1268785031.pdf', 'local-501respitecareservices5-1363905399.pdf']"
70 Lowe Street,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', '70LoweStreet3476-6-cer.pdf', '70LoweStreet3476-6-cera.docx', '70lowestreet3476-6.doc.docx', '70LoweStreet5.pdf', 'local-70lowestreet3-1242177222.pdf', 'local-70lowestreet4-1336955238.pdf']"
A H Orr Lodge,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'AHOrrLodge0007-6-cer.pdf', 'AHOrrLodge0007-6-cera.docx', 'ahorrlodge0007-6.docx', 'AHOrrLodge5.pdf', 'local-ahorrlodge4-1329106829.pdf']"
A.G.Eastwood Hostel,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'A.+G.+Eastwood+Hostel3377-6-cer.pdf', 'A.+G.+Eastwood+Hostel3377-6-cera.doc', 'a.-g.-eastwood-hostel3377-6.doc', 'A.G.EastwoodHostel5.pdf', 'local-ageastwoodhostel3-1256683589.pdf', 'local-ageastwoodhostel4-1351726349.pdf']"
Abberfield Aged Care Facility,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'Abberfield+Aged+Care+Facility4002-6cer.doc', 'Abberfield+Aged+Care+Facility4002-6cer.pdf', 'abberfield-aged-care-facility4002-6.doc', 'AbberfieldAgedCareFacility5.pdf', 'local-abberfieldagedcarefacility3-1252284087.pdf', 'local-abberfieldagedcarefacility4-1347586501.pdf']"
Abbey House Aged Care,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'Abbey House Aged Care2610-7-cer.pdf', 'Abbey House Aged Care2610-7-cera.doc', 'Abbey House Aged Care2610-7.doc', 'abbeyhouseagedcare2610-6.pdf']"
Abbeyfield House Hostel,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'AbbeyfieldHouseHostel3164-8-cer.pdf', 'AbbeyfieldHouseHostel3164-8-cera.doc', 'abbeyfieldhousehostel3164-8.doc', 'AbbeyfieldHouseHostel7.pdf', 'local-abbeyfieldhousehostel4-1247545858.pdf', 'local-abbeyfieldhousehostel6-1347944697.pdf']"
Abel Tasman Village,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'abel-tasman-village0356-8.doc', 'AbelTasmanVillage0356-7-cer.pdf', 'AbelTasmanVillage0356-7-cera.doc', 'AbelTasmanVillage6.pdf', 'local-abeltasmanvillage4-1248158256.pdf', 'local-abeltasmanvillage5-1345421102.pdf']"
Abernethy Nursing Home,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'Abernethy+Nursing+Home2787-6cer.doc', 'Abernethy+Nursing+Home2787-6cer.pdf', 'abernethy-nursing-home2787-6.doc.docx', 'AbernethyNursingHome5.pdf', 'local-abernethynursinghome3-1253600316.pdf', 'local-abernethynursinghome4-1349414693.pdf']"
Acacia Living Group Meadow Springs Aged,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'Acacia Living Group Meadow Springs Aged Care Facility7154-4.pdf', 'Acacia Living Group Meadow Springs Aged Care Facility7154-5-cer.pdf', 'Acacia Living Group Meadow Springs Aged Care Facility7154-5-cera.doc', 'Acacia Living Group Meadow Springs Aged Care Facility7154-5.doc', 'Acacia Living Group Menora Gardens Aged Care Facility7151-5.pdf', 'Acacia Living Group Menora Gardens Aged Care Facility7151-6-cer.pdf', 'Acacia Living Group Menora Gardens Aged Care Facility7151-6-cera.doc', 'Acacia Living Group Menora Gardens Aged Care Facility7151-6.doc', 'AcaciaHouseResidentialAgedCareService4.pdf', 'AcaciaHouseResidentialAgedCareService4348-5-cer.pdf', 'AcaciaHouseResidentialAgedCareService4348-5-cera.docx', 'acaciahouseresidentialagedcareservice4348-5.docx', 'local-acaciahouseresidentialagedcareservice3-1319674840.pdf']"
ACDMA Aged Hostel,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'ACDMA Aged Hostel0365-7.doc', 'ACDMA Aged Hostel0365-8-cer.pdf', 'ACDMA Aged Hostel0365-8-cera.doc', 'ACDMA Aged Hostel0365-8.doc', 'ACDMA Aged Hostel0365-9.docx', 'acdmaagedhostel0365-5.pdf', 'acdmaagedhostel1-115683088925896.pdf', 'ACDMAAgedHostel4.pdf', 'local-acdmaagedhostel2-1250743707.pdf', 'local-acdmaagedhostel3-1346912190.pdf']"
ACH Group Residential Care,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'ACH Group Residential Care - Colton Court6980-8.docx', 'ACH Group Residential Care - Kapara6805-6.docx', 'ACH Group Residential Care - Milpara6930-10-cer.pdf', 'ACH Group Residential Care - Milpara6930-10-cera.doc', 'ACH Group Residential Care - Milpara6930-10_0.doc', 'ACH Group Residential Care - Perry Park (high care)6950-6.docx', 'ACH Group Residential Care - Perry Park (low Care)6021-6.docx']"
Colton Court Nursing,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'ColtonCourtNursingHome7.pdf', 'local-coltoncourtnursinghome4-1241068092.pdf', 'local-coltoncourtnursinghome6-1340001988.pdf']"
Highercombe,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'highercombe6289-5.pdf', 'local-highercombe3-1344835635.pdf', 'local-highercombe4-1373504062.pdf']"
Kapara Nursing Home,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'KaparaNursingHome5.pdf', 'local-kaparanursinghome3-1235453651.pdf', 'local-kaparanursinghome4-1329799863.pdf']"
Milpara Aged Care Facility,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'local-milparaagedcarefacility6-1344836364.pdf', 'milparaagedcarefacility4-120520765397648.pdf', 'MilparaAgedCareFacility9.pdf']"
Mingarra Hostel,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'local-mingarrahostel3-1247460395.pdf', 'local-mingarrahostel5-1346826827.pdf', 'MingarraHostel3235-7-cer.pdf', 'MingarraHostel3235-7-cera.doc', 'mingarrahostel3235-7.doc', 'MingarraHostel6.pdf']"
Perry Park Hostel,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'local-perryparkhostel3-1238709306.pdf', 'local-perryparkhostel4-1332456292.pdf', 'PerryParkHostel5.pdf']"
Perry Park Nursing Home,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'local-perryparknursinghome3-1239237826.pdf', 'local-perryparknursinghome4-1332205852.pdf', 'PerryParkNursingHome5.pdf']"
RSL Menora Gardens Aged Care Facility,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'local-rslmenoragardensagedcarefacility2-1252019562.pdf', 'local-rslmenoragardensagedcarefacility3-1348470088.pdf', 'RSLMenoraGardensAgedCareFacility4.pdf']"
RSL War Veterans Home Mandurah,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'local-rslwarveteranshomemandurah2-1254375169.pdf', 'local-rslwarveteranshomemandurah3-1350004760.pdf', 'RSLWarVeteransHomeMandurah4.pdf']"
The Abbey Nursing Home,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE']","['AACQA Audits', 'local-theabbeynursinghome3-1238977326.pdf', 'local-theabbeynursinghome4-1334819734.pdf', 'TheAbbeyNursingHome5.pdf']"
Feedback,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['AACQA Draft Guidance Material', '1-publiconsultation.pdf', '10-publicconsultation.pdf', '100-with_attachments-publicconsultation.pdf', '101-publicconsultation.pdf', '11-publicconsultation.pdf', '13-publicconsultation.pdf', '14-publicconsultation.pdf', '15-publicconsultation.pdf', '17-publicconsultation.pdf', '2-with_attachments-publicconsultation.pdf', '21-publicconsultation.pdf', '22-with_attachments-publicconsultation.pdf', '24-publicconsultation.pdf', '25-publicconsultation.pdf', '26-publicconsultation.pdf', '27-publicconsultation.pdf', '28-publicconsultation.pdf', '29-with_attachments-publicconsultation.pdf', '3-publicconsultation.pdf', '30-publicconsultation.pdf', '31-with_attachments-publicconsultation.pdf', '33-publicconsultation.pdf', '34-publicconsultation.pdf', '35-publicconsultation.pdf', '36-publicconsultation.pdf', '37-publicconsultation.pdf', '39-publicconsultation.pdf', '40-publicconsultation.pdf', '42-publicconsultation.pdf', '43-publicconsultation.pdf', '44-publicconsultation.pdf', '45-publicconsultation.pdf', '48-publicconsultation.pdf', '49-publicconsultation.pdf', '50-publicconsultation.pdf', '51-publicconsultation.pdf', '52-publicconsultation.pdf', '53-publicconsultation.pdf', '54-publicconsultation.pdf', '55-publicconsultation.pdf', '56-publicconsultation.pdf', '57-publicconsultation.pdf', '58-publicconsultation.pdf', '59-publicconsultation.pdf', '60-publicconsultation.pdf', '61-publicconsultation.pdf', '62-publicconsultation.pdf', '63-with_attachments-publicconsultation.pdf', '64-publicconsultation.pdf', '65-with_attachments-publicconsultation.pdf', '67-publicconsultation.pdf', '68-publicconsultation.pdf', '69-publicconsultation.pdf', '7-with_attachments-publicconsultation.pdf', '70-publicconsultation.pdf', '73-publicconsultation.pdf', '75-publicconsultation.pdf', '76-publicconsultation.pdf', '77-publicconsultation.pdf', '78-publicconsultation.pdf', '79-with_attachments-publicconsultation.pdf', '80-publicconsultation.pdf', '81-publicconsultation.pdf', '83-publicconsultation.pdf', '86-publicconsultation.pdf', '87-with_attachments-publicconsultation_0.pdf', '88-publicconsultation.pdf', '90-publicconsultation.pdf', '91-publicconsultation.pdf', '92-publicconsultation.pdf', '94-with_attachments-publicconsultation.pdf', '96-publicconsultation.pdf', '98-publicconsultation.pdf', '99-publicconsultation.pdf']"
ACQSC Annual Reports,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE']","['ACQSC (Aged Care Quality and Safety Commission)', 'ACQSC_AR_2018-19_Full_Final.pdf', 'ACQSC_Corporate_Plan_2019-2020.pdf', 'aged_care_quality_and_safety_commission_glossary_final_may_2020.docx', 'aged_care_quality_and_safety_commission_glossary_final_may_2020.pdf']"
ACQSC Complaints,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE']","['ACQSC (Aged Care Quality and Safety Commission)', 'ACQSC-Complaints-policy.docx', 'acqsc_complaints_about_us_form.docx', 'CER Media Release 18 August 2017 FINAL.docx', 'Complaints policy.docx']"
ACQSC Consumer Experience,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['ACQSC (Aged Care Quality and Safety Commission)', 'acqsc_consumer_engagement_in_aged_care_-_literature_review.pdf', 'acqsc_consumer_engagement_in_aged_care_-_survey_report.pdf', 'Consumer Experience Report 2018-2019.pdf', 'Consumers’ Experience of the Quality of Care and Services - Aged Care Services.pdf', 'Consumers’ Experience of the Quality of Care and Services - Aged Care Services_accessible.docx', 'Consumers’ Experience of the Quality of Care and Services - Aged Care Services_accessible_2.docx']"
ACQSC Dept Health,FOLDER,"['FOLDER', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE', 'FILE']","['ACQSC (Aged Care Quality and Safety Commission)', 'arabic_-_dept_health_-_charter_of_aged_care_rights.docx', 'arabic_-_dept_health_-_charter_of_aged_care_rights.pdf', 'chinese_simplified_-_dept_health_-_charter_of_aged_care_rights.docx', 'chinese_simplified_-_dept_health_-_charter_of_aged_care_rights.pdf', 'chinese_traditional_-_dept_health_-_charter_of_aged_care_rights.docx', 'chinese_traditional_-_dept_health_-_charter_of_aged_care_rights.pdf', 'croatian_-_dept_health_-_charter_of_aged_care_rights.docx', 'croatian_-_dept_health_-_charter_of_aged_care_rights.pdf', 'dutch_-_dept_health_-_charter_of_aged_care_rights.docx', 'dutch_-_dept_health_-_charter_of_aged_care_rights.pdf', 'german_-_dept_health_-_charter_of_aged_care_rights.docx', 'german_-_dept_health_-_charter_of_aged_care_rights.pdf', 'greek_-_dept_health_-_charter_of_aged_care_rights.docx', 'greek_-_dept_health_-_charter_of_aged_care_rights.pdf', 'hindi_-_dept_health_-_charter_of_aged_care_rights.docx', 'hindi_-_dept_health_-_charter_of_aged_care_rights.pdf', 'hungarian_-_dept_health_-_charter_of_aged_care_rights.docx', 'hungarian_-_dept_health_-_charter_of_aged_care_rights.pdf', 'italian_-_dept_health_-_charter_of_aged_care_rights.docx', 'italian_-_dept_health_-_charter_of_aged_care_rights.pdf', 'korean_-_dept_health_-_charter_of_aged_care_rights.docx', 'korean_-_dept_health_-_charter_of_aged_care_rights.pdf', 'macedonian_-_dept_health_-_charter_of_aged_care_rights_0.docx', 'macedonian_-_dept_health_-_charter_of_aged_care_rights_0.pdf', 'maltese_-_dept_health_-_charter_of_aged_care_rights.docx', 'maltese_-_dept_health_-_charter_of_aged_care_rights.pdf', 'polish_-_dept_health_-_charter_of_aged_care_rights_0.docx', 'polish_-_dept_health_-_charter_of_aged_care_rights_0.pdf', 'russian_-_dept_health_-_charter_of_aged_care_rights.docx', 'russian_-_dept_health_-_charter_of_aged_care_rights.pdf', 'serbian_-_dept_health_-_charter_of_aged_care_rights.docx', 'serbian_-_dept_health_-_charter_of_aged_care_rights.pdf', 'spanish_-_dept_health_-_charter_of_aged_care_rights.docx', 'spanish_-_dept_health_-_charter_of_aged_care_rights.pdf', 'vietnamese_-_dept_health_-_charter_of_aged_care_rights.docx', 'vietnamese_-_dept_health_-_charter_of_aged_care_rights.pdf']"
